player_name,Converted Name,WRank,hand
Misaki Doi,Doi M.,40.0,LH
Olga Govortsova,Govortsova O.,193.0,RH
Lucie Hradecka,Hradecka L.,170.0,RH
Evgeniya Rodina,Rodina E.,83.0,RH
Arina Rodionova,Rodionova A.,669.0,RH
Richel Hogenkamp,Hogenkamp R.,105.0,RH
Alison Van Uytvanck,Uytvanck A.,113.0,RH
Arthur De Greef,Greef A.,134.0,RH
Kyle Edmund,Edmund K.,45.0,RH
Gerald Melzer,Melzer G.,68.0,LH
Roberto Carballes Baena,Baena R.,144.0,RH
Niels Desein,Desein N.,142.0,RH
Tim Puetz,Puetz T.,63.0,RH
Louisa Chirico,Chirico L.,65.0,RH
Maria Sakkari,Sakkari M.,94.0,RH
David Guez,Guez D.,26.0,RH
Ruben Bemelmans,Bemelmans R.,124.0,LH
Katerina Vankova,Vankova K.,76.0,LH
Tatjana Maria,Maria T.,104.0,RH
Nicole Vaidisova,Vaidisova N.,48.0,RH
Paula Ormaechea,Ormaechea P.,95.0,RH
Jan Mertl,Mertl J.,44.0,RH
Hyeon Chung,Chung H.,104.0,RH
Bjorn Fratangelo,Fratangelo B.,112.0,RH
Kateryna Baindl,Baindl K.,51.0,RH
Andrey Rublev,Rublev A.,152.0,RH
Ana Vrljic,Vrljic A.,27.0,RH
Oceane Dodin,Dodin O.,72.0,RH
Jurgen Zopp,Zopp J.,180.0,RH
Maxime Authom,Authom M.,79.0,RH
Su Wei Hsieh,Hsieh S.,91.0,RH
Sachia Vickery,Vickery S.,135.0,RH
Ons Jabeur,Jabeur O.,193.0,RH
Sesil Karatantcheva,Karatantcheva S.,2.0,RH
Marton Fucsovics,Fucsovics M.,154.0,RH
Tristan Lamasine,Lamasine T.,826.0,RH
Paula Badosa,Badosa P.,67.0,RH
Konstantin Kravchuk,Kravchuk K.,129.0,RH
Taro Daniel,Daniel T.,113.0,RH
Lamine Ouahab,Ouahab L.,64.0,RH
Magdalena Frech,Frech M.,79.0,RH
Kateryna Bondarenko,Bondarenko K.,79.0,RH
Cristina Andreea Mitu,Mitu C.,19.0,RH
Sara Sorribes Tormo,Tormo S.,103.0,RH
Magda Linette,Linette M.,93.0,RH
Daniel Munoz De La Nava,Nava D.,26.0,LH
Thomas Fabbiano,Fabbiano T.,95.0,RH
Martina Hingis,Hingis M.,79.0,RH
Alberta Brianti,Brianti A.,27.0,RH
Petra Martic,Martic P.,290.0,RH
Marina Melnikova,Melnikova M.,40.0,RH
Alexa Glatch,Glatch A.,27.0,RH
Jessica Pegula,Pegula J.,170.0,RH
Paula Cristina Goncalves,Goncalves P.,95.0,RH
Katerina Stewart,Stewart K.,76.0,RH
Marketa Vondrousova,Vondrousova M.,233.0,LH
Daria Kasatkina,Kasatkina D.,26.0,RH
Laura Siegemund,Siegemund L.,41.0,RH
Tereza Martincova,Martincova T.,160.0,RH
Anastasija Sevastova,Sevastova A.,33.0,RH
Marius Copil,Copil M.,124.0,RH
Mariana Duque Marino,Marino M.,112.0,RH
Irina Khromacheva,Khromacheva I.,92.0,LH
Maria Sanchez,Sanchez M.,79.0,RH
Matteo Donati,Donati M.,79.0,RH
Andrea Arnaboldi,Arnaboldi A.,271.0,LH
Amandine Hesse,Hesse A.,223.0,RH
Veronica Cepede Royg,Royg V.,129.0,RH
Virginie Razzano,Razzano V.,77.0,RH
Germain Gigounon,Gigounon G.,200.0,RH
Federico Gaio,Gaio F.,179.0,RH
Michaella Krajicek,Krajicek M.,40.0,RH
Brydan Klein,Klein B.,324.0,RH
Yuki Bhambri,Bhambri Y.,474.0,RH
Cameron Norrie,Norrie C.,236.0,LH
Katie Swan,Swan K.,130.0,RH
Naomi Broady,Broady N.,90.0,RH
Michelle Larcher De Brito,Brito M.,79.0,RH
Ti Chen,Chen T.,63.0,RH
Laurynas Grigelis,Grigelis L.,122.0,RH
Margarita Gasparyan,Gasparyan M.,40.0,RH
